Continente,Pais,Nome,Liga,Categoria
Europa,Franca,Paris Saint-Germain,Ligue 1,Profissional
Europa,Franca,Marseille,Ligue 1,Profissional
Europa,Franca,Lyon,Ligue 1,Profissional
Europa,Franca,Monaco,Ligue 1,Profissional
Europa,Franca,Lille,Ligue 1,Profissional
Europa,Franca,Rennes,Ligue 1,Profissional
Europa,Franca,Nice,Ligue 1,Profissional
Europa,Franca,Nantes,Ligue 1,Profissional
Europa,Franca,Reims,Ligue 1,Profissional
Europa,Franca,Strasbourg,Ligue 1,Profissional
Europa,Franca,Montpellier,Ligue 1,Profissional
Europa,Franca,Toulouse,Ligue 1,Profissional
Europa,Franca,Brest,Ligue 1,Profissional
Europa,Franca,Clermont,Ligue 1,Profissional
Europa,Franca,Lorient,Ligue 1,Profissional
Europa,Franca,Auxerre,Ligue 1,Profissional
Europa,Franca,Ajaccio,Ligue 1,Profissional
Europa,Franca,Angers,Ligue 1,Profissional
Europa,Alemanha,Bayern Munchen,Bundesliga,Profissional
Europa,Alemanha,Borussia Dortmund,Bundesliga,Profissional
Europa,Alemanha,RB Leipzig,Bundesliga,Profissional
Europa,Alemanha,Bayer Leverkusen,Bundesliga,Profissional
Europa,Alemanha,Eintracht Frankfurt,Bundesliga,Profissional
Europa,Alemanha,Union Berlin,Bundesliga,Profissional
Europa,Alemanha,Freiburg,Bundesliga,Profissional
Europa,Alemanha,Wolfsburg,Bundesliga,Profissional
Europa,Alemanha,Mainz,Bundesliga,Profissional
Europa,Alemanha,Borussia Monchengladbach,Bundesliga,Profissional
Europa,Alemanha,Cologne,Bundesliga,Profissional
Europa,Alemanha,Hoffenheim,Bundesliga,Profissional
Europa,Alemanha,Augsburg,Bundesliga,Profissional
Europa,Alemanha,Werder Bremen,Bundesliga,Profissional
Europa,Alemanha,Bochum,Bundesliga,Profissional
Europa,Alemanha,Heidenheim,Bundesliga,Profissional
Europa,Alemanha,Stuttgart,Bundesliga,Profissional
Europa,Alemanha,Darmstadt,Bundesliga,Profissional
Europa,Espanha,Real Madrid,La Liga,Profissional
Europa,Espanha,Barcelona,La Liga,Profissional
Europa,Espanha,Atletico de Madrid,La Liga,Profissional
Europa,Espanha,Sevilla,La Liga,Profissional
Europa,Espanha,Real Sociedad,La Liga,Profissional
Europa,Espanha,Real Betis,La Liga,Profissional
Europa,Espanha,Villarreal,La Liga,Profissional
Europa,Espanha,Athletic Bilbao,La Liga,Profissional
Europa,Espanha,Valencia,La Liga,Profissional
Europa,Espanha,Celta de Vigo,La Liga,Profissional
Europa,Espanha,Osasuna,La Liga,Profissional
Europa,Espanha,Getafe,La Liga,Profissional
Europa,Espanha,Rayo Vallecano,La Liga,Profissional
Europa,Espanha,Mallorca,La Liga,Profissional
Europa,Espanha,Almeria,La Liga,Profissional
Europa,Espanha,Cadiz,La Liga,Profissional
Europa,Espanha,Las Palmas,La Liga,Profissional
Europa,Espanha,Granada,La Liga,Profissional
Europa,Espanha,Alaves,La Liga,Profissional
Europa,Espanha,Girona,La Liga,Profissional
Europa,Inglaterra,Arsenal,Premier League,Profissional
